section_id,risk,measure,include
unwarranted-access,Someone tries to gain access to personal data,"<ul><li>Use storage and analysis systems that are suitable for your  [data classification](#data-classification), e.g., systems that are managed by your institute and/or [encrypted](#encryption).</li><li>Apply [protection strategies described here](#data-oriented-strategies).</li>",1
unwarranted-access,"A previous team member still has access (e.g., a copy on their personal device, a working account)",Enforce a protocol in which team members who leave need to remove all their copies of the data and are denied access to the data and shared folders (on- and offboarding). Periodically review and update all users/rights. Make someone responsible for this process. ,1
unwarranted-access,A team member shares the data with a third party,"<ul><li>Put in place a protocol or [non-disclosure agreement](#nda) that makes team members aware that this is not allowed, or make sure that a [data transfer agreement](#data-transfer-agreement) is in place.</li><li>Make sure that team members do not have access to data that they do not need access to.</li></ul>",1
unwarranted-access,A password is leaked,"<ul><li>Use systems that apply multifactor authentication.</li><li>Change your password regularly or immediately when it is compromised, and have your team members do the same.</li></ul>",1
data-loss,"A device is lost or defective (e.g., laptop, USB stick)","<ul><li>Protect the device with a password.</li><li>Encrypt the device or the data on it.</li><li>[Delete](#deleting-personal-data) unnecessary copies of the data on the device as soon as you’ve made a back-up on a more stable and secure system, such as university-managed storage facilities.</li><li>Enable removing data from the device from a distance.</li></ul>",1
data-loss,Paper data are lost,"<ul><li>Avoid collecting data on paper altogether, or only collect the necessary information.</li><li>Store the paper data in a central and access-controlled location, scan the documents as soon as possible, store the scans on a backed-up storage medium and destroy the paper records (securely).</li></ul>",1
data-loss,The dataset is deleted accidentally,"Use a storage system that has back-up functionality, or if not available, make regular manual back-ups of the data.",1
data-loss,A system error causes temporary loss of or access to data,"<ul><li>If you are not using centrally managed IT solutions, regularly check if back-ups are being done as expected and have protocols in place on how to restore back-ups.</li><li>If the time-out takes a significant amount of time, discuss with your [privacy officer](#support) whether you need to inform data subjects about it: they cannot exercise their rights during that time.</li></ul>",1
data-loss,The organisation is hit by a ransomware attack,"Enforce a security protocol that emphasises secure data practices, such as: <ul><li>Do not download data from unknown sources.</li><li>Be careful when installing software, preferably only install software from the institutional software catalogue.</li><li>Create awareness of what phishing looks like and to report phishing immediately to the [Computer Emergency Response Team](https://intranet.uu.nl/en/security/information-security-computer-misuse-or-report-incident-cert){target=""_blank""}.</li></ul>",1
unintended-collection,"Data subjects give more, or more sensitive information about themselves than intended/needed",<ul><li>Offer data subjects the possibility to review what information they provided.</li><li>Offer the possibility to withdraw consent in a later stage.</li><li>Use a data collection protocol to prevent this from taking place.</li><li>Remove the unnecessary information from your dataset.</li></ul>,1
unintended-collection,Data subjects give (sensitive) information about others,"<ul><li>Use a data collection protocol to prevent this from taking place.</li><li>Offer data subjects the possibility to review what information they provided.</li><li>Remove the unnecessary information from your dataset.</li><li>Consider the risks for those others vs. your own research benefits: if the interests for the other people are more important, you should delete or anonymise the information.</li></ul>",1
unintended-collection,Personal data are collected unintendedly,"This can happen when a survey tool automatically collects additional data such as IP addresses. You can sometimes turn this off, and otherwise must remove the data as soon as possible after collection.",1
invalid-legal-basis,Data subjects were not informed in a way that is understandable for them,"This can be a risk with vulnerable subjects, such as children or psychiatric patients but also with data subjects from different cultures. Make sure the information to data subjects is [easy to understand](#form-of-a-privacy-notice), consider other forms than text (e.g., orally). You could even test this with a sub-group of data subjects. Moreover, we recommend going through an ethical review to consider these aspects more in-depth.",1
invalid-legal-basis,Data subjects could not be (fully) informed because it would harm your research project,"If fully informing data subjects can negatively affect your research project ([art. 14(5)](https://gdpr-info.eu/art-14-gdpr/){target=""_blank""}), we recommend going through ethical review and extensively debriefing data subjects after your project, including a possibility to withdraw consent or to object to the processing. In case of secretive research (heimelijk onderzoek), please contact your [privacy officer](#support): this requires an in-depth privacy scan.",1
invalid-legal-basis,Data subjects do not know that their data are used for research,"This can happen for example in web scraping or archival research. In principle, you need to inform the data subjects directly. If this takes an unreasonable amount of effort, place a link to a privacy statement on a place that those data subjects likely visit (e.g., social media). Point at a possibility to object to your processing. ",1
invalid-legal-basis,Consent cannot be demonstrated,"Use a system that registers the consent (e.g., a survey tool, an interview recording), preferably with the date of providing consent. If your research involves a survey, make sure data subjects cannot enter the survey itself if they have not ticked the ""consent"" box(es). Store the consent declarations for as long as you retain the personal data. Do so securely, but separated from the research data.",1
invalid-legal-basis,Data subjects do not want to sign a consent form,"<ul><li>Consider whether you actually need a signature. If you do not use real names or a pseudonym unconnected to real names, using a signature would lead to the unnecessary processing of personal data, and a checkbox will likely suffice.</li><li>Contact your [privacy officer](#support) to consider using public interest as a legal basis instead of consent. Note that data subjects still need to be informed properly.</li><li>If you have to use consent, consider the format of consent: for some groups oral consent may work better than written consent.</li></ul>",1
